j

DATE:	02/11/2017	TIME:	15:46:29
Initialising game took 20.24 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	33.89		UP    to SLIME   and ALIVE     7.67%			29.39		34.02		THAT'S SLIME!
	16.24		DOWN  to SLIME   and ALIVE     7.67%			60.95		16.41		THAT'S SLIME!
	49.59		DOWN  to SLIME   and ALIVE     7.67%			20.07		49.81		THAT'S SLIME!
	38.31		DOWN  to SLIME   and ALIVE     7.67%			25.95		38.54		THAT'S SLIME!
	53.18		DOWN  to SLIME   and ALIVE     7.67%			18.73		53.40		THAT'S SLIME!
	16.34		RIGHT to SLIME   and ALIVE     7.67%			61.13		16.36		THAT'S SLIME!
	37.46		LEFT  to GRASS   and ALIVE     4.33%			26.68		37.48		
	16.96		LEFT  to GRASS   and ALIVE     1.00%			58.95		16.96		
	14.49		DOWN  to DEATH   and LOST GAME -2.33%			68.87		14.52		EXHAUSTED! TIME TO DIE...

DATE:	02/11/2017	TIME:	15:47:08
Initialising game took 27.08 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	26.12		DOWN  to GRASS   and ALIVE     96.67%			38.27		26.13		READY TO SLITHER!? PRESS A KEY...
	18.49		UP    to SLIME   and ALIVE     96.67%			54.01		18.52		THAT'S SLIME!
	31.83		DOWN  to GRASS   and FROG GONE 93.33%			31.29		31.96		EAGLE GOT A FROG
	26.38		UP    to SLIME   and ALIVE     93.33%			37.86		26.41		THAT'S SLIME!
	56.97		DOWN  to GRASS   and ALIVE     90.00%			17.55		57.00		
	36.03		UP    to SLIME   and ALIVE     90.00%			27.73		36.07		THAT'S SLIME!
	21.08		DOWN  to GRASS   and ALIVE     86.67%			47.41		21.09		
	54.03		UP    to SLIME   and ALIVE     86.67%			18.43		54.25		THAT'S SLIME!
	20.27		DOWN  to GRASS   and ALIVE     83.33%			49.32		20.27		
	59.13		UP    to SLIME   and ALIVE     83.33%			16.85		59.36		THAT'S SLIME!
	22.13		DOWN  to GRASS   and ALIVE     80.00%			45.16		22.14		
	17.83		RIGHT to GRASS   and ALIVE     76.67%			56.07		17.84		
	83.62		RIGHT to GRASS   and ALIVE     73.33%			11.96		83.64		
	21.19		DOWN  to PELLET  and ALIVE     63.00%			47.08		21.24		PELLET ALERT!
	31.75		DOWN  to GRASS   and ALIVE     59.67%			31.49		31.76		
	30.51		LEFT  to GRASS   and LOST GAME 56.33%			32.59		30.68		FROG GOT YOU!

DATE:	02/11/2017	TIME:	15:47:10
Initialising game took 62.44 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	18.74		DOWN  to GRASS   and ALIVE     96.67%			53.33		18.75		READY TO SLITHER!? PRESS A KEY...
